Feature,Coefficient,Odds_Ratio
credit.policy,-0.33447917646011066,0.7157107483040461
fico,-0.2780580178830625,0.7572528860304355
log.annual.inc,-0.2502349798034634,0.7786178021157181
installment,0.21086176983877525,1.234741664725004
inq.last.6mths,0.19855612179542093,1.2196404739067268
revol.bal,0.1187569589049374,1.1260961973740293
int.rate,0.11252066593041424,1.119095383821139
purpose,0.06735459795310644,1.0696747153968245
pub.rec,0.05906477637849909,1.0608439561441991
delinq.2yrs,-0.04766929474770992,0.95344904555297
dti,-0.040944337521145305,0.9598825579034012
revol.util,0.03164108887784861,1.0321469897836966
days.with.cr.line,0.02942013302666553,1.0298571806112298
